Date,Temperature,Humidity,WeatherCondition
2015-01-01,23.5,58.6,Sunny
2015-01-02,16.7,78.2,Rainy
2015-01-03,24.7,82.7,Rainy
2015-01-04,18.3,75.0,Rainy
2015-01-05,22.7,40.9,Cloudy
2015-01-06,22.4,75.0,Rainy
2015-01-07,19.3,45.9,Cloudy
2015-01-08,20.1,66.0,Sunny
2015-01-09,20.4,61.1,Sunny
2015-01-10,18.2,84.5,Rainy
2015-01-11,18.2,93.5,Rainy
2015-01-12,20.4,59.9,Sunny
2015-01-13,24.5,47.8,Cloudy
2015-01-14,28.3,86.9,Rainy
2015-01-15,22.2,76.7,Rainy
2015-01-16,19.0,44.2,Cloudy
2015-01-17,20.6,70.6,Cloudy
2015-01-18,18.6,61.3,Sunny
2015-01-19,18.0,81.1,Rainy
2015-01-20,23.7,68.9,Sunny
2015-01-21,19.5,56.9,Sunny
2015-01-22,15.5,86.0,Rainy
2015-01-23,18.7,48.0,Sunny
2015-01-24,24.5,63.0,Cloudy
2015-01-25,23.1,53.5,Sunny
2015-01-26,26.5,63.4,Cloudy
2015-01-27,12.1,83.2,Rainy
2015-01-28,17.7,70.4,Sunny
2015-01-29,21.3,63.6,Cloudy
2015-01-30,17.6,82.4,Rainy
2015-01-31,19.6,55.0,Sunny
2015-02-01,23.5,71.6,Sunny
2015-02-02,20.4,65.1,Sunny
2015-02-03,26.1,61.8,Sunny
2015-02-04,19.9,56.7,Cloudy
2015-02-05,25.8,57.1,Sunny
2015-02-06,22.0,57.7,Cloudy
2015-02-07,20.8,57.1,Cloudy
2015-02-08,21.5,64.0,Sunny
2015-02-09,19.2,74.0,Sunny
2015-02-10,16.2,59.7,Cloudy
2015-02-11,22.3,55.7,Sunny
2015-02-12,19.4,78.0,Rainy
2015-02-13,23.0,59.9,Cloudy
2015-02-14,25.4,67.5,Cloudy
2015-02-15,19.6,73.8,Sunny
2015-02-16,21.8,96.9,Rainy
2015-02-17,18.5,84.2,Rainy
2015-02-18,22.3,55.0,Sunny
2015-02-19,22.0,56.3,Cloudy
2015-02-20,18.8,64.7,Sunny
2015-02-21,21.9,75.0,Rainy
2015-02-22,19.7,56.8,Sunny
2015-02-23,20.9,65.6,Sunny
2015-02-24,22.7,73.1,Sunny
2015-02-25,21.0,57.9,Sunny
2015-02-26,22.8,67.8,Cloudy
2015-02-27,25.9,51.3,Sunny
2015-02-28,22.8,63.5,Sunny
2015-03-01,26.7,75.0,Rainy
2015-03-02,26.9,75.0,Rainy
2015-03-03,28.5,37.8,Sunny
2015-03-04,24.4,56.6,Sunny
2015-03-05,25.7,38.7,Sunny
2015-03-06,30.9,54.1,Sunny
2015-03-07,25.4,51.5,Cloudy
2015-03-08,25.3,41.8,Sunny
2015-03-09,30.6,47.6,Sunny
2015-03-10,28.0,64.5,Sunny
2015-03-11,23.8,49.7,Sunny
2015-03-12,24.8,54.8,Sunny
2015-03-13,27.6,57.4,Sunny
2015-03-14,25.5,34.9,Sunny
2015-03-15,25.2,44.9,Sunny
2015-03-16,28.5,53.9,Sunny
2015-03-17,28.7,41.9,Sunny
2015-03-18,28.2,38.6,Sunny
2015-03-19,30.6,60.7,Sunny
2015-03-20,23.9,40.6,Sunny
2015-03-21,28.9,52.6,Sunny
2015-03-22,29.5,88.5,Sunny
2015-03-23,32.0,59.9,Sunny
2015-03-24,27.1,57.6,Cloudy
2015-03-25,26.5,75.0,Rainy
2015-03-26,34.9,31.3,Cloudy
2015-03-27,24.8,75.0,Rainy
2015-03-28,24.6,75.9,Rainy
2015-03-29,32.7,51.3,Cloudy
2015-03-30,23.8,75.0,Rainy
2015-03-31,35.2,68.4,Sunny
2015-04-01,21.9,51.9,Sunny
2015-04-02,24.7,75.0,Rainy
2015-04-03,29.5,58.7,Cloudy
2015-04-04,27.0,46.8,Cloudy
2015-04-05,33.3,54.0,Sunny
2015-04-06,29.1,66.5,Sunny
2015-04-07,23.4,45.2,Cloudy
2015-04-08,25.3,83.7,Rainy
2015-04-09,18.3,39.8,Cloudy
2015-04-10,22.0,37.0,Sunny
2015-04-11,26.7,51.3,Cloudy
2015-04-12,28.2,73.5,Sunny
2015-04-13,23.1,75.0,Rainy
2015-04-14,27.4,50.6,Sunny
2015-04-15,28.3,56.6,Cloudy
2015-04-16,26.2,71.1,Sunny
2015-04-17,27.5,55.9,Sunny
2015-04-18,26.5,52.1,Cloudy
2015-04-19,24.2,75.0,Rainy
2015-04-20,30.9,64.5,Sunny
2015-04-21,30.4,56.3,Cloudy
2015-04-22,29.7,42.9,Sunny
2015-04-23,27.9,51.2,Cloudy
2015-04-24,26.0,61.6,Sunny
2015-04-25,27.3,61.0,Sunny
2015-04-26,26.8,52.6,Sunny
2015-04-27,31.9,50.2,Cloudy
2015-04-28,25.3,75.0,Rainy
2015-04-29,29.0,48.7,Sunny
2015-04-30,33.7,60.7,Cloudy
2015-05-01,25.0,37.9,Sunny
2015-05-02,30.3,56.7,Sunny
2015-05-03,26.0,75.0,Rainy
2015-05-04,21.7,67.7,Sunny
2015-05-05,23.5,75.0,Rainy
2015-05-06,27.8,78.6,Rainy
2015-05-07,26.7,75.0,Rainy
2015-05-08,27.7,75.0,Rainy
2015-05-09,23.7,35.9,Sunny
2015-05-10,24.0,78.6,Rainy
2015-05-11,28.9,64.8,Cloudy
2015-05-12,27.1,50.0,Sunny
2015-05-13,29.0,41.7,Sunny
2015-05-14,29.5,50.9,Cloudy
2015-05-15,30.1,46.0,Cloudy
2015-05-16,28.2,59.8,Sunny
2015-05-17,28.3,42.3,Sunny
2015-05-18,34.8,54.1,Sunny
2015-05-19,34.5,42.3,Sunny
2015-05-20,27.7,59.8,Sunny
2015-05-21,25.5,44.0,Sunny
2015-05-22,29.1,75.0,Rainy
2015-05-23,29.0,68.8,Cloudy
2015-05-24,29.7,59.7,Cloudy
2015-05-25,24.0,68.3,Sunny
2015-05-26,27.8,47.2,Sunny
2015-05-27,22.9,63.5,Sunny
2015-05-28,28.8,52.8,Sunny
2015-05-29,21.2,75.0,Rainy
2015-05-30,28.8,53.0,Sunny
2015-05-31,28.0,50.5,Sunny
2015-06-01,21.1,79.0,Rainy
2015-06-02,22.4,100.0,Rainy
2015-06-03,25.2,100.0,Rainy
2015-06-04,23.0,87.5,Rainy
2015-06-05,24.3,95.5,Cloudy
2015-06-06,30.2,97.6,Cloudy
2015-06-07,18.9,92.3,Rainy
2015-06-08,25.9,93.7,Cloudy
2015-06-09,20.7,91.6,Rainy
2015-06-10,25.2,77.4,Rainy
2015-06-11,24.7,93.6,Rainy
2015-06-12,26.5,95.7,Rainy
2015-06-13,26.9,83.3,Sunny
2015-06-14,16.9,94.4,Rainy
2015-06-15,22.0,99.0,Rainy
2015-06-16,18.1,100.0,Rainy
2015-06-17,18.7,99.9,Rainy
2015-06-18,23.8,89.6,Cloudy
2015-06-19,20.7,90.2,Rainy
2015-06-20,20.4,87.1,Rainy
2015-06-21,17.7,93.1,Rainy
2015-06-22,27.9,95.4,Rainy
2015-06-23,23.5,100.0,Rainy
2015-06-24,23.7,77.8,Cloudy
2015-06-25,19.8,100.0,Rainy
2015-06-26,23.2,57.0,Cloudy
2015-06-27,22.1,58.1,Cloudy
2015-06-28,23.7,98.1,Rainy
2015-06-29,19.1,95.8,Rainy
2015-06-30,17.2,97.0,Rainy
2015-07-01,21.4,94.5,Rainy
2015-07-02,20.1,84.2,Rainy
2015-07-03,24.7,89.1,Cloudy
2015-07-04,22.0,100.0,Rainy
2015-07-05,31.1,90.1,Cloudy
2015-07-06,18.9,93.1,Rainy
2015-07-07,26.2,81.9,Rainy
2015-07-08,17.8,100.0,Rainy
2015-07-09,20.6,88.7,Rainy
2015-07-10,20.2,86.4,Rainy
2015-07-11,16.5,86.8,Sunny
2015-07-12,23.3,70.9,Sunny
2015-07-13,22.7,97.7,Rainy
2015-07-14,25.5,70.2,Sunny
2015-07-15,28.1,100.0,Rainy
2015-07-16,20.0,100.0,Rainy
2015-07-17,22.8,75.0,Rainy
2015-07-18,22.8,86.0,Rainy
2015-07-19,18.6,97.7,Rainy
2015-07-20,20.0,95.5,Rainy
2015-07-21,22.2,87.6,Cloudy
2015-07-22,23.6,100.0,Rainy
2015-07-23,18.7,69.7,Sunny
2015-07-24,25.1,74.0,Sunny
2015-07-25,25.5,95.8,Cloudy
2015-07-26,23.0,90.9,Rainy
2015-07-27,23.0,76.8,Cloudy
2015-07-28,22.9,100.0,Rainy
2015-07-29,23.2,89.5,Cloudy
2015-07-30,15.9,84.9,Rainy
2015-07-31,25.2,86.6,Rainy
2015-08-01,23.0,92.8,Rainy
2015-08-02,26.7,81.0,Cloudy
2015-08-03,17.6,100.0,Rainy
2015-08-04,23.5,100.0,Rainy
2015-08-05,22.5,97.5,Rainy
2015-08-06,20.7,71.8,Cloudy
2015-08-07,24.2,75.2,Cloudy
2015-08-08,23.0,88.3,Cloudy
2015-08-09,23.2,70.2,Cloudy
2015-08-10,22.7,74.5,Cloudy
2015-08-11,26.6,93.6,Cloudy
2015-08-12,17.1,97.8,Rainy
2015-08-13,16.7,100.0,Rainy
2015-08-14,24.5,100.0,Cloudy
2015-08-15,24.3,87.3,Cloudy
2015-08-16,22.7,99.4,Rainy
2015-08-17,27.6,100.0,Rainy
2015-08-18,24.6,81.0,Sunny
2015-08-19,21.0,78.7,Sunny
2015-08-20,29.6,100.0,Rainy
2015-08-21,23.5,75.7,Cloudy
2015-08-22,26.6,56.8,Sunny
2015-08-23,20.1,67.0,Cloudy
2015-08-24,17.5,92.4,Rainy
2015-08-25,21.3,92.3,Rainy
2015-08-26,24.4,93.4,Rainy
2015-08-27,27.5,100.0,Rainy
2015-08-28,20.9,85.2,Sunny
2015-08-29,21.2,83.9,Rainy
2015-08-30,22.0,96.6,Rainy
2015-08-31,22.0,94.8,Rainy
2015-09-01,21.7,96.6,Rainy
2015-09-02,21.9,89.6,Rainy
2015-09-03,26.2,75.0,Rainy
2015-09-04,25.7,75.0,Rainy
2015-09-05,24.9,77.5,Sunny
2015-09-06,19.8,72.2,Cloudy
2015-09-07,20.9,94.3,Rainy
2015-09-08,24.8,100.0,Rainy
2015-09-09,21.9,72.7,Cloudy
2015-09-10,22.4,84.9,Cloudy
2015-09-11,20.9,92.7,Rainy
2015-09-12,26.1,84.4,Cloudy
2015-09-13,26.9,84.9,Rainy
2015-09-14,23.8,91.9,Rainy
2015-09-15,19.0,97.6,Cloudy
2015-09-16,20.4,100.0,Rainy
2015-09-17,25.9,77.5,Rainy
2015-09-18,18.2,100.0,Rainy
2015-09-19,18.7,74.6,Sunny
2015-09-20,22.4,84.0,Cloudy
2015-09-21,26.9,79.7,Cloudy
2015-09-22,20.9,94.4,Rainy
2015-09-23,28.5,100.0,Rainy
2015-09-24,24.5,78.2,Sunny
2015-09-25,18.1,96.0,Rainy
2015-09-26,22.6,85.2,Rainy
2015-09-27,30.0,87.2,Cloudy
2015-09-28,24.8,89.8,Cloudy
2015-09-29,21.0,85.1,Sunny
2015-09-30,16.5,82.2,Rainy
2015-10-01,21.0,62.0,Sunny
2015-10-02,20.2,45.9,Cloudy
2015-10-03,26.0,51.2,Cloudy
2015-10-04,19.2,86.3,Sunny
2015-10-05,22.3,61.8,Cloudy
2015-10-06,20.3,61.2,Cloudy
2015-10-07,16.9,69.9,Sunny
2015-10-08,21.9,77.7,Sunny
2015-10-09,17.3,56.0,Sunny
2015-10-10,23.9,69.7,Cloudy
2015-10-11,14.7,86.4,Rainy
2015-10-12,19.8,81.2,Rainy
2015-10-13,25.2,61.2,Sunny
2015-10-14,23.7,70.8,Sunny
2015-10-15,20.6,66.3,Cloudy
2015-10-16,21.3,77.1,Rainy
2015-10-17,22.5,76.3,Rainy
2015-10-18,18.8,70.5,Sunny
2015-10-19,25.4,59.2,Sunny
2015-10-20,22.8,75.0,Rainy
2015-10-21,15.8,80.0,Rainy
2015-10-22,22.7,55.2,Cloudy
2015-10-23,21.2,61.3,Cloudy
2015-10-24,26.3,62.0,Cloudy
2015-10-25,24.6,62.8,Sunny
2015-10-26,22.2,70.7,Sunny
2015-10-27,25.7,53.2,Cloudy
2015-10-28,28.9,56.4,Sunny
2015-10-29,17.0,42.4,Sunny
2015-10-30,20.7,57.2,Cloudy
2015-10-31,19.0,49.5,Cloudy
2015-11-01,21.9,62.3,Cloudy
2015-11-02,18.8,66.8,Sunny
2015-11-03,25.0,57.9,Sunny
2015-11-04,26.9,75.0,Rainy
2015-11-05,22.5,64.9,Sunny
2015-11-06,15.3,75.7,Rainy
2015-11-07,20.1,54.4,Sunny
2015-11-08,20.5,58.3,Sunny
2015-11-09,26.3,54.3,Sunny
2015-11-10,23.0,56.2,Cloudy
2015-11-11,22.6,44.8,Sunny
2015-11-12,19.5,61.6,Sunny
2015-11-13,20.2,56.1,Sunny
2015-11-14,23.6,70.8,Sunny
2015-11-15,21.5,52.0,Cloudy
2015-11-16,24.7,50.5,Cloudy
2015-11-17,20.4,62.2,Sunny
2015-11-18,11.6,51.3,Sunny
2015-11-19,20.5,70.4,Sunny
2015-11-20,17.1,64.6,Sunny
2015-11-21,23.8,71.1,Sunny
2015-11-22,23.2,67.2,Sunny
2015-11-23,25.2,71.7,Sunny
2015-11-24,20.1,64.8,Sunny
2015-11-25,21.5,61.5,Cloudy
2015-11-26,19.9,64.9,Sunny
2015-11-27,20.1,87.8,Rainy
2015-11-28,24.5,45.1,Sunny
2015-11-29,17.9,67.5,Sunny
2015-11-30,24.5,77.1,Rainy
2015-12-01,22.7,75.8,Sunny
2015-12-02,25.6,45.6,Sunny
2015-12-03,20.7,61.9,Cloudy
2015-12-04,20.9,61.7,Sunny
2015-12-05,23.6,75.0,Rainy
2015-12-06,21.1,75.0,Rainy
2015-12-07,26.7,59.3,Sunny
2015-12-08,16.9,55.9,Sunny
2015-12-09,15.7,75.0,Rainy
2015-12-10,23.9,69.9,Cloudy
2015-12-11,22.7,54.4,Sunny
2015-12-12,21.3,48.5,Sunny
2015-12-13,27.5,49.3,Cloudy
2015-12-14,24.7,57.9,Cloudy
2015-12-15,18.2,74.4,Sunny
2015-12-16,21.5,75.0,Rainy
2015-12-17,23.0,64.6,Sunny
2015-12-18,23.4,66.1,Sunny
2015-12-19,22.6,67.1,Sunny
2015-12-20,16.9,75.0,Rainy
2015-12-21,20.0,78.0,Cloudy
2015-12-22,19.8,59.9,Sunny
2015-12-23,24.5,53.5,Cloudy
2015-12-24,19.2,75.0,Rainy
2015-12-25,20.6,35.8,Sunny
2015-12-26,25.1,49.1,Sunny
2015-12-27,19.1,59.5,Cloudy
2015-12-28,29.2,59.8,Sunny
2015-12-29,21.3,60.3,Cloudy
2015-12-30,19.4,60.4,Cloudy
2015-12-31,19.0,57.2,Sunny
2016-01-01,25.0,66.2,Cloudy
2016-01-02,24.2,84.2,Rainy
2016-01-03,27.4,63.6,Sunny
2016-01-04,24.7,66.4,Cloudy
2016-01-05,22.3,69.5,Sunny
2016-01-06,28.2,53.1,Sunny
2016-01-07,18.9,77.0,Rainy
2016-01-08,20.0,55.2,Sunny
2016-01-09,18.9,54.7,Sunny
2016-01-10,21.9,81.4,Sunny
2016-01-11,19.2,67.5,Sunny
2016-01-12,20.1,76.2,Rainy
2016-01-13,18.5,77.1,Rainy
2016-01-14,21.2,43.3,Sunny
2016-01-15,24.8,68.7,Cloudy
2016-01-16,18.3,45.4,Sunny
2016-01-17,17.3,80.0,Sunny
2016-01-18,25.2,59.6,Sunny
2016-01-19,17.1,54.3,Sunny
2016-01-20,26.4,73.8,Sunny
2016-01-21,23.2,53.1,Sunny
